text_cleaned,true_label,predicted_label,error_type
fake it is not a good thing to have the best way to do this for you guys to the same thing with my family and friends to do it for the best way of a new book на телефоны шұғыл түрде пайдалану мақсатында қр үкіметінің ресми сайты қр парламентінің ресми сайты қазақстан республикасының үкіметі айқындайтын тәртіппен бекітілетін табыс етті ме екен сенің ерлігіңнің табыс тілеймін баршаңызға бақыт туралы жыр бақыт деген не істейтін және жедел түрде пайдалану мақсатында қр үкіметінің ресми сайты қазақст,1,0,false_negative
проста реклама шығып кете береді сұмдық кой мынауыңыз сіздерге беретін бағам 00,1,0,false_negative
маған ұнайды бірақ жүктелми жатыыр ақшаның бəрін жей бергенше бірден бере салыңдарш,0,1,false_positive
жаксыбек,0,1,false_positive
маған тез істелсе жақсы болар еді,0,1,false_positive
настроикыдан орысша қылдыруға болат,0,1,false_positive
сәлеметсизбе менде 3 ай болды каспи рет каспи кредит ашылмай жаттыр продажа жасап жаттырмын,0,1,false_positive
далбойоп тупой есалаң айн емес бул есәләң,1,0,false_negative
маған өте қатысты ұнады,0,1,false_positive
өте күшті бірақ логин мен парольді жаза бересің сосын интернетсіз жасаңдаршы,1,0,false_negative
ол тиесілі ток зор,0,1,false_positive
кайалсындан,0,1,false_positive
өте керемет ептвлематтарды көруге болады щщас удудвьж ыдыс жуатын орын алады да оны да оны да оны да оны да оны да оны да біреу ғана болады және оның түрлері шығыс еуропа ғарыш айлағы да оны қалай дамыту керек шығыс қазақстан облысы тарбағатай ауданында орналасқан оны кір жуғыш заттар мен құбылыстардың ішкі және сыртқы саяси жағдайы өте керемет немесе басқа да оны да оны қалай дамыту керек шығыс қазақстан облысы тарбағатай ауданы ақсуат ауылынан оңтүстік шығысқа қарай орналасқан оны да оны да,0,1,false_positive
киін діру ге болмайт,1,0,false_negative
әттең бұндай қызды өмірімнің соңына дейін аялайтын едім,1,0,false_negative
оте катты ұнады,0,1,false_positive
терапевт даригерим жок жазылатын приемга,0,1,false_positive
тыңдалынбайд,0,1,false_positive
е бәрін котакты жеменбер жаксы приложение нахуй куштыго шшс отырык унамайд анау мнау деп жазбаяккойндар шшс,1,0,false_negative
өте ауқымды және кең көлемде таралған бағдарлама,0,1,false_positive
катады,1,0,false_negative
маган унамаид себебі жабык өзімнін тосо босо жаксы,0,1,false_positive
оте күшті программа,0,1,false_positive
тарақандар барлық жерде кездеседі қатты суық қайда барарыңды білмейсің пойыздың тұрақты кешігуі бір сағат ерте келіп тағы үшеуін күтті,0,1,false_positive
маған ұнамады себебі дурыс шықпайды ха ха ха,1,0,false_negative
шешең амы бензема,1,0,false_negative
жарнама өте көп ойнауға мүмкіндік бермейді,0,1,false_positive
тартылмады,0,1,false_positive
өте жақсы бірақ ашылмай жатыр смс кемеи жатыр,1,0,false_negative
қазақ тіліне толық аударылмаған,1,0,false_negative
жақын болған соң бардым енді бармаспын,0,1,false_positive
қотаққо,0,1,false_positive
қазақ тілі қойылмаған ба,1,0,false_negative
өте қатты ұнады бірақ қатып қала береді,1,0,false_negative
керемет семинар болды рахмет әріптестер ерік ағай,0,1,false_positive
жақсы кейде дұрыс жұмыс істемейді,1,0,false_negative
кәдімгі майнкрафтқа жазыла ма,1,0,false_negative
лучше сбербанк жаксы комиссиясыда азгантай бул каспи адам тонайды,0,1,false_positive
саламатсыздар ма неге айфон 12 де іздеу деген жерге шыкпайды жаннат фирдаус деп іздегенде ағылшынша терсемде шыкпайды,1,0,false_negative
фу бол ойын маған ұанған жоқ қотақбасыскй ойын фри фари көшті,0,1,false_positive
таяк жейсин,0,1,false_positive
жақсы приложение еді соңғы обнавлениеден кейін жаңа сүрелерді сақталмайтын болып қалды қазір удалить етіп қайта жазып едім мүлде сүрелер аудиосы қосылмайды,1,0,false_negative
каналыма жазлындарш отиниш leo kz,0,1,false_positive
оиын оте нашар,1,0,false_negative
жақсы қымбат,0,1,false_positive
мағанда бұл ойын ұнады,0,1,false_positive
студенческий картамен qr арқылы оплата 80 тг,1,0,false_negative
балық аз екен бағалары қымбат барғанымызға өкіндік,0,1,false_positive
аятул курси таба алмадым,1,0,false_negative
apple wallet ке косыныздар,0,1,false_positive
өте ыңғайлы стикер бар өте қызықты,0,1,false_positive
кушты,0,1,false_positive
мықтысың,0,1,false_positive
өте қатты ұнамад қалай акаунт ашад,1,0,false_negative
мен бұны кошыре алмадыи,0,1,false_positive
уақытша ұстауға болады бірақ 3 км жердегі ірі караны айыра алмайсын анықтап,1,0,false_negative
маған ұнамады несиелік карта дей берет кірмей қойды вашше,1,0,false_negative
ой мынау деген чортқо істмейдіго,0,1,false_positive
жаным жаным,0,1,false_positive
аударыоым жасалмайды қызмет көрсету лері тусініксіз күрделі жеңіл әрі тез болса жақсы болар еді,0,1,false_positive
ассалам алейкум қалайсың,0,1,false_positive
18 бар менде прямой эфирге кірмей қайта қайта бір сөздер шыға береді неліктен,1,0,false_negative
оте кушти емес,0,1,false_positive
ну маған ұнады әрине неге қайта қайта бравл да шығып кетеді,1,0,false_negative
неге 290тг тариф 490 болып кеткен кайттан 290 кылындарш,1,0,false_negative
рахат күшті нәрсені жаман деме бля ақжол не жазып тастағансың қотақ,1,0,false_negative
қазақ тілінде қате өте көп күнделікті пакет және жаңа жылдық ойын ашпайды 2023 ші жылды қазақ тілі етейік,1,0,false_negative
жаксы есепке жаксы,0,1,false_positive
балаларға деп ашылад брақ балалар кіруге тыйым салынған,0,1,false_positive
баратаристіде алдап кетесің ухухухуххуух,1,0,false_negative
неге ашылмаиды деисіңдер ашылады ғои вот сендерде интрнет болмаи,1,0,false_negative
сақалды жұлады дауысы өте қатты,0,1,false_positive
жақсы рахмет алла разы болсын,0,1,false_positive
егер егер кулактарын және,0,1,false_positive
тжб ны осы жақтан шыгаргым келмнйт даптерге шыгаргым келеді,0,1,false_positive
зайбпл екен,0,1,false_positive
та ха сүресі 5 аятының орысша аудармасын қмдб мақұлдамаған түсіндірмемен берген яғни милостивый он утвердился на небесном троне,0,1,false_positive
саламатсызба халық травел бөлімінде темір жол билеттері сатып алынбайды ал әуе жай билеттері сатылымға шығады ол қалай сонда,1,0,false_negative
нубго фф быр бырынге лактырлмайды,0,1,false_positive
эпикалық жауынгерлік стратегиялық ойын ауылыңызды құрып әскерлеріңізді дайындап шайқасқа барыңыз әлемде миллиондаған ойыншыларға қосылыңыз сіз өз ауылыңызды құрып клан өсіресіз және эпикалық клан соғыстарында бәсекеге түсесіз мустахиардты варварлар отты сиқыршылар және басқа да ерекше әскерлер сіздерді күтеді clash әлеміне кіріңіз жаңа мүмкіндіктер жаңа town hall 13 ке жаңартыңыз неге clash of clans ойыны j2 core телефонына ойналмайды жақсы ойын емес харам мүлде ойнамаңыздар,0,1,false_positive
нармалн екен мал,0,1,false_positive
бокс бар ма айына қанша төлеу керек,1,0,false_negative
тарттық көриік,0,1,false_positive
егерде сен қазақ болсан arailym ff арнасына тіркеле салшы өтінем бұл ютуб арнам _өтінем _тіркелші_,1,0,false_negative
жаман түкіргенім бар,0,1,false_positive
жаксы осы неге лстановить жыга берет тупит тете берет англизкий да бар и орысша да бар казакша тупит титед казакша жазшам казак теймкой ол кезек жазды осы тупит тете берет казакша 4 коям уйткены сендер старатса тет тын гой,1,0,false_negative
гта 5 басып едім гта 5 маған осны осы ойынды бас дейт осы ойын басаам гта 5 ойналама,0,1,false_positive
4жасар бала ойнайтын жақсы ойын екен,0,1,false_positive
біләт мен қаншама рет орынды обновление жасадым сол күйі тұр на,0,1,false_positive
норм ойын брак утыла берсен жынданып удалит етип тастайсын,0,1,false_positive
нөмерді ауыстыру қызметі қашан қосылады,0,1,false_positive
жақсы ойын әдемі,0,1,false_positive
енди корем кандаи екенин кеин космша жазам,1,0,false_negative
гу гу керек ед екен деген ой болса деп отырмын енді ол маған да айтып жүр,0,1,false_positive
котак ам,1,0,false_negative
неге қазақша мәзір жасамайсыздар мүмкін болса қазақша,1,0,false_negative
неге менің қолфоныма бұл сәжде кз праграмма орнатсам кағбаны дұрыс көрсетпейді праграмма компасының көрсеткіші қозғалмай тұрады,1,0,false_negative
30 елдин катарына кирдик деп кулактан теуп условия 0,0,1,false_positive
жаман емес үй шаруасында ұсақ түйекке жақсы жарайды,0,1,false_positive
порковка кішкентай,0,1,false_positive
таривтер кымбат арзандату керег или овши 350т ашылатын болса каждыи аделныи емес,1,0,false_negative
керемет бырақ мен оны жоидым фф скачат етім,0,1,false_positive
менин парольдеримди нестейсиндер,0,1,false_positive
керемет видеолар бар қаласаң тартып аласың,0,1,false_positive
бойауы зың екен ғой,0,1,false_positive
бұл негізі не үшін керек,1,0,false_negative
қуып кете берет а так норм,1,0,false_negative
зың ойын ба десем нашар ойын екен таза мал ойын,1,0,false_negative
кешіріңіз уақыт көрсетпей тұр,0,1,false_positive
мемлекеттік тілде қазақ тілінде қажет неге мемлекеттік тілде жасамайсындар қазақ тілді азаматтардын құқығын бұзып отырсындар менім ұлтым неміс мен орысша білмеймін приложение сделайте на гос языке казахский язык казахо язычным гражданом ущемляетте права я по наций немец мне ближе казахский язык чем русский язык,1,0,false_negative
бұл ойын тартылмайды,0,1,false_positive
ойын оте кызык болып келе жатыр еди ойын коп ойнайтын адам жауабын таппай турмын отиниш айтып жибериниз билетиндер барма айтындаршы типтен 5 кун болды ойланып таппадык автор ози умытып калмадымекен неге жауап жок,1,0,false_negative
күшті бірақ бір жаманы ағылшын сол үшін 1 жұлдыз,0,1,false_positive
мен суреттерге қарап қызықтым бірақ бұл ойынға кіре аламадым бұл интернет пен ойналама не болмаса интернет сіз ойналама,1,0,false_negative
оинап жатқан кезде бір жерге кіріп кетеді,0,1,false_positive
болатын шығар,0,1,false_positive
калайсындар,0,1,false_positive
kotak әдемы ойын екен өте әдемы брақ утыла берем аа ешактың кодыгы блят,0,1,false_positive
мен бұл ютупты жақсы көремін ютуп қосылса екен бар болғаны,0,1,false_positive
қосымша жақсы бірақ ағылшын тілінде қазақ немесе орыс тілінде болса керемет болар еді,1,0,false_negative
өте кішкентай,0,1,false_positive
неге play market қазақша болғанымен бағдарламаның көрсетілген скришоттары орыс тілінде және жаңалықтар сатысы орыс тілінде және менің билайным бағдарламасының ішіндегі кейбір ойындарының интерфейсі орысша және бағдарламаның ішіндегі кейбір жерлері орысша аралас жүреді қазақ тілі таңдалып тұрса да және смартфон тілі мен бағдарлама тілі бәрі қазақ тілінде болғанымен бағдарламаның аты мой билайн казахстан деп тұрады неге смартфон тіліне байланысты бағдарлама атауы да өзгермейді екен,1,0,false_negative
қазақ тілін қосуға болмайды осых өте үлкен минус,0,1,false_positive
басқа бір адамның мені қалай сақтағанын қалай көреді,0,1,false_positive
мықты екен я,0,1,false_positive
ауылға да келеме,0,1,false_positive
маған жаман оиткены ақша аударылмаит бірақ оның жақсысы фф ға данат жазаланады,0,1,false_positive
әйелдер намазханасының тазалығына көңіл бөлсеңіздер екен тазалық жүргізілмейтіні көрініп тұр,0,1,false_positive
керек нәрсе табылады тек неге кіру ақылы соны түсінбеймін,1,0,false_negative
күшті ойын қатты ұнады,0,1,false_positive
суретте үлкен көрінген еді бірақ слишком маленький качествосына келсек жақсы бірақ кішкентай,0,1,false_positive
шарты есептерді шығарады дептүр бірақ мүлдем шығармаиды,0,1,false_positive
kop unaidi,0,1,false_positive
бəріне өкпелімін мен шаршадым,1,0,false_negative
тусиниксиз бир турли сайт екен,1,0,false_negative
ешекбас,0,1,false_positive
мына переводчик дұрыс аудармайды,1,0,false_negative
менің телефоным samsun gt бірақ бұл ойын отпей жатыр мен бұл ойынға 1 ақ беремын,0,1,false_positive
бұл жерде баланың құрқынышты,0,1,false_positive
мағанболойынұнағанжоқ,0,1,false_positive
маган унады куштии,0,1,false_positive
нурдаулет және ыкылас чорт,1,0,false_negative
бəрі ақшаға,0,1,false_positive
котакбас ойын,0,1,false_positive
қатты қызық емес,1,0,false_negative
нақты жазылған пікірлер өшірілетін сичқты көбіне заказбен жазылған пікірлер екені көрініп тұр,0,1,false_positive
себебі бастаған кезде көбірек ақша болуы керек,0,1,false_positive
неге кітаптар ашылмай тұр алдынғы телефонымда ашылатын еді,1,0,false_negative
жаман десенда күшті,0,1,false_positive
пайызы жоғары,0,1,false_positive
тезирек,0,1,false_positive
нашар қатады мегебаиты 2гб шығып кете береді,1,0,false_negative
билмим корем оинап,0,1,false_positive
мал ойын екен,1,0,false_negative
маған бул ойын ұнайды,0,1,false_positive
